Track: Stadium Oval (track_01)
Bounds: X[-190, 190] Z[-250, 250]
Grid: 95x125 @ 4 units/cell

                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                 #############################                                 
                               ###                           ###                               
                             ###                               ###                             
                           ###                                   ###                           
                         ###                                       ###                         
                       ###                                           ###                       
                     ###                                               ###                     
                   ###                                                   ###                   
                 ###                                                       ###                 
                ##                                                           ##                
                #                                                             #                
               ##                                                             ##               
               #                                                               #               
               #                                                               #               
               #                   #########################            F      #               
              ##                 ###                       ###          .      ##              
              #                ###                           ###        .       #              
              #              ###                               ###      .       #              
              #             ##                                   ##     .       #              
             ##             #                                     #     .       ##             
             #             ##                                     ##    .        #             
             #             #                                       #    .        #             
             #             #                                       #    .        #             
             #             #                                       #    .        #             
            ##            ##                                       ##   .        ##            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            #             #                                         #   .         #            
            ##            ##                                       ##   .        ##            
             #             #                                       #    .        #             
             #             #                                       #    .        #             
             #             #                                       #    .        #             
             #             ##                                     ##    .        #             
             ##             #                                     #     .       ##             
              #             ##                                   ##     .       #              
              #              ###                               ###      .       #              
              #                ###                           ###        .       #              
              ##                 ###                       ###          .      ##              
               #                   #########################            .      #               
               #      S..................................................      #               
               #                                                               #               
               ##                                                             ##               
                #                                                             #                
                ##                                                           ##                
                 ###                                                       ###                 
                   ###                                                   ###                   
                     ###                                               ###                     
                       ###                                           ###                       
                         ###                                       ###                         
                           ###                                   ###                           
                             ###                               ###                             
                               ###                           ###                               
                                 #############################                                 
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
                                                                                               
