Track: The Switchback (track_03)
Bounds: X[-225, 225] Z[-300, 250]
Grid: 113x138 @ 4 units/cell

                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
             #######################################################################################             
             #                                                                                     #             
             #                                                                                     #             
             #                                                                                     #             
             #                                                                                     #             
             #                                                                                     #             
             #                                                                                     #             
             #                                                                                     #             
             #                                                                                     #             
             #                                                                                     #             
             #                                                                                     #             
             #          #################################################################          #             
             #################################                                          #          #             
             #          #                    ###                                        #          #             
             #          #                      ###                                     ##          #             
             #          #                        ###                                 ###           #             
             #          #                          ###                             ###             #             
             #          #                            ###                         ###               #             
             #          #                              ###                     ###                 #             
             #          #                                ###                 ###                   #             
             #          #                                  ###             ###                     #             
             #          #                                    ###         ###                      ##             
             #          #                                      ###     ###                      ###              
             #          ###################                      ### ###                      ###                
             #          #                 ###                      ###                      ###                  
             #          #                   ###                                           ###                    
             #          #                     ###                                       ###                      
             #          #                       ###                                   ###                        
             #          #                         ###                               ###                          
             #          #                           ###                           ###                            
             #          #                             ###                       ###                              
             #          #                               ###                   ###                                
             #          #                                 ###               ###                                  
             #          #                                   ###           ###                                    
             #          #                                     ###       ###                                      
             #          #                                       ###   ###                                        
             #          #                                         #####                                          
             #          #######################                     #                                            
             #          #                     ##                                                                 
             #          #                      ##                                                                
             #          #                       ###                                                              
             #          #                         ##                                                             
             #          #                          ##                                                            
             #    F     #                           ###                                                          
             #          #                             ##                                                         
             #          #                              ##                                                        
             #          #                               ###                                                      
             #          #                                 ##                                                     
             ##############################                ##                                                    
             #          #                 ##                ###                                                  
             #          #                  ##                 ##                                                 
             #          #                   ###                ##                                                
             #          #                     ##                ###                                              
             #          #                      ##                 ##                                             
             #          #                       ###                ##                                            
             #          #                         ##                ###                                          
             #          #                          ##                 ##############################             
             #          #                           ###                                            #             
             #          #                             ##                                           #             
             #          #                              ##                                          #             
             #          #                               ###                                        #             
             #          #                                 ##                                       #             
             #          #                                  ##                                      #             
             #          #                                   ###                                    #             
             #          #                                     ##                                   #             
             #          #                                      ##                                  #             
             #          #                                       ###                                #             
             #          #                                         #######################          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                                               #          #             
             #          #                                         #######################          #             
             #          #                                       ###                                #             
             #          #                                      ##                                  #             
             #          #                                     ##                                   #             
             #          #                                   ###                                    #             
             #          #                                  ##                                      #             
             #          #                                 ##                                       #             
             #          #                               ###                                        #             
             #          #                              ##                                          #             
             #          #                             ##                                           #             
             #          #                           ###                                            #             
             #          #                          ##                 ##############################             
             #          #                         ##                ###                                          
             #          #                       ###                ##                                            
             #          #                      ##                 ##                                             
             #          #                     ##                ###                                              
             #          #                   ###                ##                                                
             #          #                  ##                 ##                                                 
             #          #                 ##                ###                                                  
             #          ###################                ##                                                    
             #                                            ##                                                     
             #                                          ###                                                      
             #                                         ##                                                        
             #                                        ##                                                         
             #    S                                 ###                                                          
             #                                     ##                                                            
             #                                    ##                                                             
             #                                  ###                                                              
             #                                 ##                                                                
             #                                ##                                                                 
             ##################################                                                                  
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
